DATE	MATCHUP	RESULT	VENUE	ATTENDANCE	GOAL SCORERS
March 7, 2016	U-18 WNT vs Norway	1-0 W	La Manga, Spain		Kim
March 6, 2016	U-17 WNT vs Mexico	1-0 W	Grenada National Stadium; St. Georges, Grenada		Sanchez
March 6, 2016	WNT vs France	1-0 W	Nissan Stadium; Nashville, Tenn.	25,363	Morgan
March 6, 2016	U-20 WNT vs Norway	2-1 W	La Manga, Spain		Roberts, Watt
March 6, 2016	U-23 WNT vs France	2-0 W	Umag, Croatia		Groom, Gibbons
March 5, 2016	U-18 WNT vs England	1-0 W	La Manga, Spain		Kim
March 4, 2016	U-17 WNT vs Jamaica	8-1 W	Grenada National Stadium; St. Georges, Grenada		Kuhlmann (2), Sanchez (2), Tagliaferri (4)
March 4, 2016	U-23 WNT vs Poland U-19 WNT	0-0 D	Umag, Croatia		--
March 4, 2016	U-20 WNT vs England	1-0 W	La Manga, Spain		Watt
March 3, 2016	WNT vs England	1-0 W	Raymond James Stadium; Tampa Bay, Fla.	13,027	Dunn
March 3, 2016	U-18 WNT vs Denmark	0-0 D	La Manga, Spain		--
March 2, 2016	U-20 WNT vs Sweden	1-1 D	La Manga, Spain		Hedge
March 2, 2016	U-23 WNT vs Slovenia	3-0 W	Umag, Croatia		Groom, T. Smith, Sullivan
February 21, 2016	WNT vs Canada	2-0 W	BBVA Compass Stadium; Houston, Texas	10,119	Horan, Heath
February 19, 2016	WNT vs Trinidad & Tobago	5-0 W	BBVA Compass Stadium; Houston, Texas	5,561	Heath, Morgan(3), Lloyd
February 15, 2016	WNT vs Puerto Rico	10-0 W	Toyota Stadium; Frisco, Texas	7,658	Dunn(5), Lloyd, O'Hara, Rivera(og), Press, S. Mewis
February 15, 2016	U-17 WNT vs Japan	2-1 W	Glenn “Mooch” Myernick Field; Carson, Calif.		Sanchez, own goal
February 13, 2016	U-17 WNT vs Korea Republic	2-0 W	Glenn “Mooch” Myernick Field; Carson, Calif.		S. Smith, Rodriguez
February 13, 2016	WNT vs Mexico	1-0 W	Toyota Stadium; Frisco, Texas	15,032	Lloyd
February 11, 2016	U-17 WNT vs England	2-0 W	Glenn “Mooch” Myernick Field; Carson, Calif.		Kuhlmann (2)
February 10, 2016	WNT vs Costa Rica	5-0 W	Toyota Stadium; Frisco, Texas	8,143	Morgan(2), Lloyd, Dunn, Press
February 5, 2016	MNT vs Canada	1-0 W	StubHub Center; Carson, Calif.	9,274	Altidore
January 31, 2016	MNT vs Iceland	3-2 W	StubHub Center; Carson, Calif.	8,803	Altidore, Orozco, Birnbaum
January 25, 2016	U-23 WNT vs Ireland	3-0 W	U.S. Soccer National Training Center; Carson, Calif.		Gibbons(2), Payne
January 23, 2016	WNT vs Ireland	5-0 W	Qualcomm Stadium; San Diego, Calif.	23,309	Lloyd (3), Morgan, Pugh
January 23, 2016	U-17 MNT vs Turkey	1-3 L	Mumin Ozkasap; Turkey		Villegas
January 21, 2016	U-17 MNT vs Belgium	2-0 W	Adnan Menderes, Turkey		Carleton, Sargent
January 19, 2016	U-17 MNT vs Greece	2-1 W	Adnan Menderes, Turkey		Carleton, Temple
January 18, 2016	U-17 MNT vs Romania	0-1 L	Kusadasi, Turkey		--
December 16, 2015	WNT vs China	0-1 L	Mercedes-Benz Superdome; New Orleans, La.	32,950	
December 13, 2015	U-20 WNT vs Canada	1-0 W	Estadio Francisco Morazan; San Pedro Sula, Honduras		Sanchez
December 13, 2015	WNT vs China	2-0 W	University of Phoenix Stadium; Glendale, Ariz.	19,066	Dunn, Press
December 11, 2015	U-20 WNT vs Honduras	7-0 W	Estadio Francisco Morazan; San Pedro Sula, Honduras		Sanchez(2), Pugh(2), Scarpa, Canales, Velásquez(og)
December 10, 2015	WNT vs Trinidad & Tobago	6-0 W	Alamodome; San Antonio, Texas	10,690	Lloyd, Morgan, Press (3), Horan
December 9, 2015	U-20 WNT vs Haiti	6-0 W	Escuela Internacional Sampedran; San Pedro Sula, Honduras		De Melo, Pugh(2), Scarpa, Davidson, Stevens
December 7, 2015	U-20 WNT vs Panama	6-1 W	Escuela Internacional Sampedran; San Pedro Sula, Honduras		Hedge, Pugh(2), Scarpa(3)
December 6, 2015	U-17 MNT vs Brazil	0-3 L	Premier Sports Campus; Lakewood Ranch, Fla.		
December 6, 2015	WNT vs Trinidad & Tobago	0-0 D	Aloha Stadium; Honolulu, Hawaii CANCELLED		--
December 4, 2015	U-20 WNT vs Mexico	2-2 D	Olympic Stadium; San Pedro Sula, Honduras		Pugh, Fox
December 4, 2015	U-17 MNT vs Netherlands	2-1 W	Premier Sports Campus; Lakewood Ranch, Fla.	1,500	Villegas, Sargent
December 2, 2015	U-17 MNT vs England	2-3 L	Premier Sports Campus; Lakewood Ranch, Fla.		Goslin, Carleton
November 17, 2015	MNT vs Trinidad & Tobago	0-0 D	Hasely Crawford Stadium; Port of Spain, Trinidad & Tobago	22,809	--
November 15, 2015	U-23 MNT vs Brazil	1-5 L	Mangueirão Stadium; Belém, Brazil	6,130	Marlon (og)
November 13, 2015	MNT vs St. Vincent & The Grenadines	6-1 W	Busch Stadium; St. Louis, Mo.	43,433	Wood, Johnson, Altidore(2), Cameron, Zardes
November 11, 2015	U-23 MNT vs Brazil	1-2 L	Ilha do Retiro Stadium; Recife, Brazil	10,777	Kiesewetter
October 25, 2015	U-18 MNT vs Canada	2-3 L	U.S. Soccer National Training Center; Carson, Calif.		Dorsey, Taitague
October 25, 2015	WNT vs Brazil	3-1 W	Citrus Bowl; Orlando, Fla.	32,869	Morgan, Dunn, McCaffrey
October 23, 2015	U-17 MNT vs Chile	1-4 L	Estadio Sausalito; Vina Del Mar, Chile		Vazquez
October 23, 2015	U-18 MNT vs Canada	3-1 W	U.S. Soccer National Training Center; Carson, Calif.		Taitague, Perry(2)
October 21, 2015	WNT vs Brazil	1-1 D	CenturyLink Field; Seattle, Wash.	23,693	Lloyd
October 20, 2015	U-17 MNT vs Croatia	2-2 D	Estadio Sausalito; Vina Del Mar, Chile		C. Pulisic, Vazquez
October 17, 2015	U-17 MNT vs Nigeria	0-2 L	Estadio Nacional Julio Martínez Prádanos; Santiago, Chile		--
October 13, 2015	MNT vs Costa Rica	0-1 L	Red Bull Arena; Harrison, N.J.	9,214	--
October 13, 2015	U-23 MNT vs Canada	2-0 W	Rio Tinto Stadium; Sandy, Utah	4,760	Pelosi, Kiesewetter
October 12, 2015	U-20 MNT vs Mexico	3-3 D	Gazi-Stadion auf der Waldau; Stuttgart, Germany	800	Sabbi, Akale(2)
October 10, 2015	MNT vs Mexico	2-3 L	Rose Bowl; Pasadena, Calif.	93,723 (so)	Cameron, Wood
October 10, 2015	U-23 MNT vs Honduras	0-2 L	Rio Tinto Stadium; Sandy, Utah	2,633	--
October 9, 2015	U-20 MNT vs Scotland	2-2 D	Stadion an der Kreuzeiche; Reutlingen, Germany	400	Sabbi, Akale
October 6, 2015	U-23 MNT vs Panama	4-0 W	Dick's Sporting Goods Park; Commerce City, Colo.	3,313	Escobar(og), Kiesewetter, Morris, Gil
October 6, 2015	U-20 MNT vs Germany	1-8 L	Gazi-Stadion auf der Waldau; Stuttgart, Germany	800	Williamson
October 3, 2015	U-23 MNT vs Cuba	6-1 W	Sporting Park; Kansas City, Kan.	3,755	Carter-Vickers, Miazga, Kiesewetter(2), Hyndman, Hernandez
October 1, 2015	U-23 MNT vs Canada	3-1 W	Sporting Park; Kansas City, Kan.	3,827	Morris(2), Gil
September 30, 2015	U.S. Open Cup vs Sporting Kansas City	1-1 D SKC wins 7-6 on PKs	PPL Park; Chester, Pa.	14,463	PHI-Le Toux, SKC-Nemeth
September 25, 2015	U-17 MNT vs Mexico	1-0 W	Mexico City, Mexico		Gallardo
September 23, 2015	U-17 MNT vs Mexico	1-5 L	Mexico City, Mexico		Vazquez
September 23, 2015	U-20 WNT vs Honduras	5-0 W	San Pedro Sula, Honduras		Canales, Redei, Stevens, Pinto, Harr
September 20, 2015	WNT vs Haiti	8-0 W	Legion Field; Birmingham, Ala.	35,735	Lloyd(3), Johnston, Dunn, Rodriguez, Morgan, O'Reilly
September 17, 2015	WNT vs Haiti	5-0 W	Ford Field; Detroit, Mich.	34,538	Lloyd(3), Press, Dunn
September 8, 2015	MNT vs Brazil	1-4 L	Gillette Stadium; Foxborough, Mass.	29,308	D. Williams
September 8, 2015	U-23 MNT vs Qatar	2-0 W	Gigg Lane; Bury, England		Joya, Ariyibi
September 7, 2015	U-20 MNT vs Israel	2-0 W	Stadium FK Backa Topola; Backa Topola, Serbia	200	own goal, Saucedo
September 4, 2015	MNT vs Peru	2-1 W	RFK Stadium; Washington, D.C.	28,896	Altidore(2)
September 4, 2015	U-20 MNT vs France	1-6 L	Senta, Serbia	150	Sabbi
September 4, 2015	U-17 MNT vs France	0-0 D	Limoges, France		--
September 3, 2015	U-23 MNT vs England	0-1 L	Deepdale Stadium; Preston, England		--
September 3, 2015	U-20 MNT vs Serbia	1-3 L	Subotica, Serbia	400	Scott
September 2, 2015	U-17 MNT vs Australia	1-1 D	Limoges, France		Gallardo
August 21, 2015	U-17 MNT vs Slovakia	1-1 D	Zivanice; Czech Republic		Trusty
August 19, 2015	WNT vs Costa Rica	7-2 W	Finley Stadium; Chattanooga, Tenn.	20,535 (so)	Lloyd(2), O'Reilly(2), Wambach, Alvarado(own goal), Morgan
August 19, 2015	U-17 MNT vs Slovenia	1-1 D	Svitavy; Czech Republic		Zendejas
August 18, 2015	U-17 MNT vs Russia	2-4 L	Vysoke Myto; Czech Republic		Perez, Arellano
August 16, 2015	WNT vs Costa Rica	8-0 W	Heinz Field; Pittsburgh, Pa.	44,028	O'Reilly(2), Press(3), Johnston, Klingenberg, Engen
August 15, 2015	U-18 WNT vs Mexico	1-2 L	Centro de Alto Rendimiento; Mexico City, Mexico		Fox
August 13, 2015	U-18 WNT vs Mexico	1-1 D	Centro de Alto Rendimiento; Mexico City, Mexico		Fox
August 9, 2015	U-18 MNT vs Finland	2-1 W	Tingvalla; Karlstad, Sweden	250	Dorsey, Taitague
August 7, 2015	U-18 MNT vs Sweden	1-2 L	Tingvalla; Karlstad, Sweden	500	Carleton
August 5, 2015	U-18 MNT vs Iceland	0-2 L	Kolsvik; Sunne, Sweden	200	--
August 4, 2015	U-18 MNT vs Faroe Islands	2-0 W	Strandvallen, Mallbacken; Sunne, Sweden	215	Jones, Taitague
July 25, 2015	MNT vs Panama	1-1 D Panama wins 2-3 on PKs	PPL Park; Philadelphia, Pa.	12,598	Dempsey
July 22, 2015	MNT vs Jamaica	1-2 L	Georgia Dome; Atlanta, Georgia	70,511	Bradley
July 18, 2015	MNT vs Cuba	6-0 W	M&T Bank Stadium; Baltimore, Md.	37,994	Dempsey(3), Zardes, Johannsson, Gonzalez
July 13, 2015	MNT vs Panama	1-1 D	Sporting Park; Kansas City, Kan.	18,467 (so)	Bradley
July 13, 2015	U-18 MNT vs Czech Republic	1-1 D	Glenn “Mooch” Myernick Field, StubHub Center; Carson, Calif.		Elney
July 11, 2015	U-18 MNT vs Uruguay	1-2 L	Glenn “Mooch” Myernick Field, StubHub Center; Carson, Calif.		Yueill
July 10, 2015	MNT vs Haiti	1-0 W	Gillette Stadium; Foxborough, Mass.	46,720	Dempsey
July 7, 2015	MNT vs Honduras	2-1 W	Toyota Stadium; Frisco, Texas	22,357 (so)	Dempsey(2)
July 5, 2015	WNT vs Japan	5-2 W	BC Place; Vancouver, Canada	53,341	Lloyd (3), Holiday, Heath
July 3, 2015	MNT vs Guatemala	4-0 W	Nissan Stadium; Nashville, Tenn.	44,835	Castrillo (og), Chandler, Dempsey (pk), Wondolowski
June 30, 2015	WNT vs Germany	2-0 W	Olympic Stadium; Montreal, Canada	51,176	Lloyd, O'Hara
June 26, 2015	WNT vs China PR	1-0 W	Landsdowne Stadium; Ottawa, Canada	24,141	Lloyd
June 22, 2015	WNT vs Colombia	2-0 W	Commonwealth Stadium; Edmonton, Canada	19,412	Morgan, Lloyd
June 16, 2015	WNT vs Nigeria	1-0 W	BC Place; Vancouver, Canada	52,193	Wambach
June 14, 2015	U-20 MNT vs Serbia	0-0 D 5-6 L	North Harbour Stadium; Auckland, New Zealand	10,826	--
June 12, 2015	WNT vs Sweden	0-0 D	Winnipeg Stadium; Winnipeg, Canada	32,716	--
June 12, 2015	U-15 BNT vs Paraguay	1-3 L	Buenos Aires, Argentina		Acosta
June 10, 2015	MNT vs Germany	2-1 W	RheinEnergieSTADION; Cologne, Germany	40,348	Diskerud, Wood
June 10, 2015	U-20 MNT vs Colombia	1-0 W	Wellington Regional Stadium; Wellington, New Zealand	6,062	Rubin
June 10, 2015	U-15 BNT vs Argentina	1-2 L	Buenos Aires, Argentina		Licor
June 8, 2015	WNT vs Australia	3-1 W	Winnipeg Stadium; Winnipeg, Canada	31,148	Rapinoe(2), Press
June 8, 2015	U-15 BNT vs Uruguay	0-1 L	Buenos Aires, Argentina		--
June 7, 2015	U-23 MNT vs England	2-1 W	Stade Mayol; Toulon, France	910	Hernandez, Joya
June 6, 2015	U-20 WNT vs Brazil	2-1 W	Glenn “Mooch” Myernick Field – Field #1; Carson, Calif.	250	Racioppi, Pugh
June 5, 2015	MNT vs Netherlands	4-3 W	Amsterdam Arena; Amsterdam, Netherlands	46,000	Zardes, Brooks, Williams, Wood
June 5, 2015	U-20 MNT vs Ukraine	0-3 L	North Harbor Stadium; Auckland, New Zealand	7,694	--
June 4, 2015	U-20 WNT vs Mexico	1-0 W	Glenn “Mooch” Myernick Field – Field #1; Carson, Calif.	400	Pugh
June 2, 2015	U-20 WNT vs Japan	0-3 L	Glenn “Mooch” Myernick Field – Field #1; Carson, Calif.	300	--
June 2, 2015	U-23 MNT vs Qatar	1-0 W	Stade de Lattre-de-Tassigny; Aubagne, France	680	Green
June 2, 2015	U-20 MNT vs New Zealand	4-0 W	North Harbor Stadium; Auckland, New Zealand	15,678	Jamieson, Hyndman, Arriola, Rubin
May 31, 2015	U-23 MNT vs Costa Rica	1-2 L	Stade Louis Hon; Saint-Raphaël, France	550	Alashe
May 31, 2015	U-23 WNT vs England	2-1 W	Sarpsborg, Norway		Lavelle, T. Smith
May 30, 2015	WNT vs Korea Republic	0-0 D	Red Bull Arena; Harrison, N.J.	26,467 (so)	--
May 30, 2015	U-20 MNT vs Myanmar	2-1 W	Northland Events Center; Whangarei, New Zealand	5,816	Tall, Hyndman
May 29, 2015	U-23 MNT vs Netherlands	3-1 W	Stade Perruc; Hyères, France	550	Kiesewetter, Hernandez, Packwood
May 29, 2015	U-23 WNT vs Norway	2-2 D	Sarpsborg, Norway		Ubogagu(2)
May 27, 2015	U-23 MNT vs France	1-3 L	Stade Léo Lagrange; Toulon, France	812	Morris
May 27, 2015	U-23 WNT vs Sweden	2-1 W	Fredrikstad, Norway		Mills, Roccaro
May 19, 2015	U-20 MNT vs Australia	2-1 W	Central Coast Stadium; Gosford, Australia	600	Soñora, Tall
May 17, 2015	WNT vs Mexico	5-1 W	StubHub Center; Carson, Calif.	27,000 (so)	Leroux(2), Chalupny, Wambach(2)
May 10, 2015	WNT vs Ireland	3-0 W	Avaya Stadium; San Jose, Calif.	18,000 (so)	Wambach(2), Johnston
May 1, 2015	U-15 BNT vs Austria	3-2 W	Vipolze, Slovenia		Carleton(2), Weah
April 30, 2015	U-18 MNT vs Bosnia-Herzegovina	1-0 W	Stadion Bare; Medugorje, Bosnia-Herzegovina		Akale
April 29, 2015	U-15 BNT vs Italy	0-0 D 5-4	Vipolze, Slovenia	450	Carleton, Acosta, Villegas, Durkin, Weah
April 28, 2015	U-18 MNT vs Bosnia-Herzegovina	1-3 L	Medugorje, Bosnia-Herzegovina		Akale
April 27, 2015	U-15 BNT vs Slovenia	2-3 L	Vipolze, Slovenia	100	Goslin, Acosta
April 26, 2015	U-15 BNT vs Croatia	6-2 W	Vipolze, Slovenia	65	Akinola(4), Carleton(2)
April 25, 2015	U-20 MNT vs Croatia	1-0 W	Red Bull Salzburg Academy; Salzburg, Austria		Gall
April 25, 2015	U-15 BNT vs Costa Rica	4-1 W	Vipolze, Slovenia	55	Carleton(2), del Rosario(2)
April 22, 2015	U-23 MNT vs Mexico	3-0 W	StubHub Center; Carson, California	3,782	M. Rodriguez, Dean, Morris
April 21, 2015	U-20 MNT vs Qatar	2-2 D	Red Bull Salzburg Academy; Salzburg, Austria		Moreno, Donovan
April 15, 2015	MNT vs Mexico Presented by AT&T	2-0 W	Alamodome; San Antonio, Texas	64,369 (so)	Morris, Agudelo
April 4, 2015	WNT vs New Zealand	4-0 W	Busch Stadium; St. Louis, Mo.	35,817	Klingenberg, Chalupny, Johnston, Brian
March 31, 2015	U-23 MNT vs Denmark	0-1 L	Lyngby Stadion; Copenhagen, Denmark	1,322	--
March 31, 2015	MNT vs Switzerland	1-1 D	Stadion Letzigrund; Zurich, Switzerland	16,100	Shea
March 29, 2015	U-20 MNT vs England	1-2 L	Home Park; Plymouth, England	11,406	Tall
March 27, 2015	U-23 MNT vs Bosnia and Herzegovina	5-2 W	Stadion Tusanj; Tuzla Bosnia & Herzegovina	800	Morris, M. Rodriguez, Joya, A. Hernandez, Alashe
March 25, 2015	MNT vs Denmark	2-3 L	NRGi Park; Aarhus, Denmark	10,505	Altidore, Johannsson
March 15, 2015	U-17 MNT vs Jamaica	0-0 D USA wins 5-4 on PKs	Estadio Francisco Morazán; San Pedro Sula, Honduras		PKs: Gallardo, Barbir, Zendejas, Nelson, Velela
March 15, 2015	U-16 BNT vs Netherlands	1-3 L	Rotterdam, Netherlands	250	Goslin
March 13, 2015	U-16 BNT vs Czech Republic	1-2 L	Rotterdam, Netherlands	130	Taitague
March 11, 2015	U-17 MNT vs Jamaica	0-1 L	Estadio Francisco Morazán; San Pedro Sula, Honduras	1,288	--
March 11, 2015	WNT vs France	2-0 W	Algarve Stadium	1,500	Johnston, Press
March 11, 2015	U-16 BNT vs Republic of Ireland	0-1 L	Rotterdam, Netherlands	65	--
March 9, 2015	WNT vs Iceland	0-0 D	Municipal Stadium Lagos; Lagos, Portugal	500	--
March 9, 2015	U-20 WNT vs Sweden	2-0 W	La Manga, Spain		Watt(2)
March 8, 2015	U-17 MNT vs Honduras	2-2 D	Estadio Francisco Morazán; San Pedro Sula, Honduras		de la Torre, Perez
March 7, 2015	U-20 WNT vs Netherlands	2-0 W	La Manga, Spain		Harvey, Harr
March 6, 2015	WNT vs Switzerland	3-0 W	Municipal Stadium; Vila Real de Santo António, Portugal	500	Morgan, Rodriguez, Wambach
March 5, 2015	U-17 MNT vs Guatemala	4-1 W	Estadio Francisco Morazán; San Pedro Sula, Honduras	865	Perez (3), Da Silva
March 5, 2015	U-20 WNT vs Norway	2-0 W	La Manga, Spain		Pugh (2)
March 4, 2015	WNT vs Norway	2-1 W	Municipal Stadium; Vila Real de Santo António, Portugal	500	Lloyd (2)
March 2, 2015	U-17 MNT vs Trinidad & Tobago	2-0 W	Estadio Francisco Morazán; San Pedro Sula, Honduras	1,650	Gallardo, Wright
March 2, 2015	U-23 WNT vs England	2-1 W	La Manga, Spain		Killion, L. Williams
February 28, 2015	U-23 WNT vs Norway	2-0 W	La Manga, Spain		Groom, Colaprico
February 27, 2015	U-17 MNT vs Cuba	5-0 W	Estadio Francisco Morazán; San Pedro Sula, Honduras	720	Arellano, Gallardo (3), Zendejas
February 26, 2015	U-23 WNT vs Japan	1-0 W	La Manga, Spain		L. Williams
February 15, 2015	U-17 WNT vs Japan	3-1 W	Glenn “Mooch” Myernick Field; Carson, Calif.	500	Sanchez, Ekic, Pinto
February 13, 2015	U-17 WNT vs Canada	2-0 W	Glenn “Mooch” Myernick Field; Carson, Calif.	200	Ekic, Sanchez
February 13, 2015	WNT vs England	1-0 W	stadiummk; Milton Keynes, England	14,369	Morgan
February 11, 2015	U-17 WNT vs Mexico	3-1 W	Glenn “Mooch” Myernick Field; Carson, Calif.	100	Sanchez (3)
February 8, 2015	MNT vs Panama	2-0 W	StubHub Center; Carson, Calif.	20,271	Bradley, Dempsey
February 8, 2015	WNT vs France	0-2 L	Stade du Moustoir; Lorient, France	15,663	-
February 3, 2015	U-18 MNT vs Universidad Católica de Chile	0-1 L	Chivas Verde Valle: Guadalajara, Mexico	70	-
February 2, 2015	U-18 MNT vs Club Tijuana	1-1 D	Chivas Verde Valle: Guadalajara, Mexico	100	Williamson
January 31, 2015	U-18 MNT vs Cruzeiro	0-1 L	Chivas Verde Valle: Guadalajara, Mexico	70	-
January 30, 2015	U-18 MNT vs Monarcas Morelia	1-0 W	Chivas Verde Valle; Guadalajara, Mexico	100	M. Pineda
January 28, 2015	MNT vs Chile	2-3 L	Estadio El Teniente; Rancagua, Chile	12,420	Shea, Altidore
January 24, 2015	U-20 MNT vs El Salvador	2-0 W	Montego Bay Sports Complex; Montego Bay, Jamaica	1,000	Spencer, Arriola
January 22, 2015	U-16 BNT vs Turkey	0-1 L	Turgutlu 7 Eylül		-
January 21, 2015	U-20 MNT vs Trinidad & Tobago	1-0 W	Montego Bay Sports Complex; Montego Bay, Jamaica	750	Jamieson
January 20, 2015	U-16 BNT vs Norway	0-2 L	Turgutlu 7 Eylül		-
January 19, 2015	U-16 BNT vs Romania	2-0 W	Kırkağaç İlçe		Rennicks, Villegas
January 18, 2015	U-20 MNT vs Jamaica	2-0 W	Montego Bay Sports Complex; Montego Bay, Jamaica	3,500	Gall (2)
January 14, 2015	U-20 MNT vs Aruba	8-0 W	Independence Park; Kingston, Jamaica	2,000	Gall (3), Spencer, Thompson, Hyndman, Jamieson IV, Moreno
January 11, 2015	U-20 MNT vs Panama	0-1 L	Independence Park; Kingston, Jamaica	3,320	-
January 9, 2015	U-20 MNT vs Guatemala	1-1 D	Independence Park; Kingston, Jamaica	2,500	Carter-Vickers
December 21, 2014	WNT vs Brazil	0-0 D	National Stadium Mane Garrincha; Brasilia, Brazil	11,000	-
December 18, 2014	WNT vs Argentina	7-0 W	National Stadium Mane Garrincha	750	Press-4, Lloyd-3
December 14, 2014	WNT vs Brazil	2-3 L	National Stadium Mane Garrincha, Brasilia, Brazil	5,421	Lloyd, Rapinoe
December 10, 2014	WNT vs China PR	1-1 D	National Stadium Mane Garrincha; Brasilia, Brazil	300	Lloyd
November 18, 2014	MNT vs Ireland	1-4 L	Aviva Stadium; Dublin, Ireland	33,332	Diskerud
November 14, 2014	MNT vs Colombia	1-2 L	Craven Cottage; London, England	24,235	Altidore (PK)
October 26, 2014	WNT vs Costa Rica	6-0 W	PPL Park; Chester, Pa.	11,625	Wambach (4), Lloyd, Leroux
October 24, 2014	WNT vs Mexico	3-0 W	PPL Park; Chester, Pa.	8,773	Lloyd (2), Press
October 20, 2014	WNT vs Haiti	6-0 W	RFK Stadium; Washington, D.C.	6,421	Lloyd, Wambach (2), Klingenberg, Press, Brian
October 17, 2014	WNT vs Guatemala	5-0 W	Toyota Park; Bridgeview, Ill.	6,796	Heath (2), Lloyd, Engen, Rapinoe
October 15, 2014	WNT vs Trinidad & Tobago	1-0 W	Sporting Park; Kansas City, Kan.	3,621	Wambach
October 14, 2014	MNT vs Honduras	1-1 D	FAU Stadium; Boca Raton, Fla.	14,805	Altidore
October 10, 2014	MNT vs Ecuador	1-1 D	East Hartford, Conn.	36,265	Diskerud
September 18, 2014	WNT vs Mexico	4-0 W	Sahlen's Stadium; Rochester, N.Y.	5,680	Rodriguez, Rapinoe, Heath, Morgan
September 13, 2014	WNT vs Mexico	8-0 W	Rio Tinto Stadium; Sandy, Utah	8,849	Own Goal, Wambach (2), Morgan (2), Engen, Leroux, O'Reilly
September 3, 2014	MNT vs Czech Republic	1-0 W	Prague, Czech Republic	12,642	Bedoya
August 20, 2014	WNT vs Switzerland	4-1 W	WakeMed Soccer Park; Cary, N.C.	9,992 (so)	Rapinoe, Lloyd, Press, Wambach
July 1, 2014	MNT vs Belgium	1-2 L a.e.t.	Fonte Nova; Salvador, Brazil	51,227	Green
June 26, 2014	MNT vs Germany	0-1 L	Arena Pernambuco; Recife, Brazil	41,876	--
June 22, 2014	MNT vs Portugal	2-2 D	Arena Amazona; Manaus, Brazil	40,123	Dempsey, Jones
June 19, 2014	WNT vs France	2-2 D	Rentschler Field; East Hartford, Conn.	14,695	Morgan (2)
June 16, 2014	MNT vs Ghana	2-1 W	Estadio das Dunas; Natal, Brazil	39,760	Dempsey, Brooks
June 14, 2014	WNT vs France	1-0 W	Raymond James Stadium; Tampa, Fla.	9,799	Leroux
June 7, 2014	MNT vs Nigeria	2-1 W	EverBank Field; Jacksonville, Fla.	52,033	Altidore (2)
June 1, 2014	MNT vs Turkey	2-1 W	Red Bull Arena; Harrison, N.J.	26,762	F. Johnson, Dempsey
May 27, 2014	MNT vs Azerbaijan, powered by Yingli Solar	2-0 W	Candlestick Park; San Francisco, Calif.	24,688	Diskerud, Johannsson
May 8, 2014	WNT vs Canada	1-1 D	Investors Group Field; Winnipeg, Canada	28,255	Leroux
April 10, 2014	WNT vs China PR	3-0 W	Qualcomm Stadium; San Diego, Calif.	12,857	Lloyd (2), Leroux
April 6, 2014	WNT vs China PR	2-0 W	Dick's Sporting Goods Park; Commerce City, Colo.	14,903	Holiday, Rapinoe
April 2, 2014	MNT vs Mexico	2-2 D	University of Phoenix Stadium; Glendale, Ariz.	59,066	Bradley, Wondolowski
March 12, 2014	WNT vs Korea DPR	3-0 W	Estadio Bela Vista Parchal; Portugal	250	Wambach(2), O'Reilly
March 10, 2014	WNT vs Denmark	3-5 L	Estadio Municipal Albufeira; Albufeira, Portal	750	Press, Leroux, Rapinoe
March 7, 2014	WNT vs Sweden	0-1 L	Estadio Municipal Albufeira; Albufeira, Portugal	2,000	--
March 5, 2014	WNT vs Japan	1-1 D	Estadio Bela Vista; Portugal	500	Leroux
March 5, 2014	MNT vs Ukraine	0-2 L	Antonis Papadopoulos Stadium; Larnaca, Cyprus	1,573	--
February 13, 2014	WNT vs Russia	8-0 W	Georgia Dome; Atlanta, Ga.	16,133	Own Goal (2), Rodriguez, Wambach, Rapinoe, Holiday, O’Reilly, Press
February 8, 2014	WNT vs Russia	7-0 W	FAU Stadium; Boca Raton, Fla.	8,857	Lloyd (2), O'Reilly, Press (2), Leroux, Wambach
February 1, 2014	MNT vs Korea Republic	2-0 W	StubHub Center; Carson, Calif.	27,000 (so)	Wondolowski (2)
January 31, 2014	WNT vs Canada	1-0 W	Toyota Stadium; Frisco, Texas	20,862	Leroux
