DATE	MATCHUP	RESULT	VENUE	ATTENDANCE	GOAL SCORERS
February 21, 2017	U-20 MNT vs Haiti	4-1 W	Estadio Nacional; San Jose, Costa Rica	170	Lennon(3), de la Torre
February 21, 2017	U-18 WNT vs Norway	5-0 W	St. Georges Park; Straffordshire, England	100	Yates, Smith(3), Dyke
February 20, 2017	Beach vs U.S. Virgin Islands	8-1 W	Malcolm Beach Soccer Facility; Nassau, Bahamas		Perera(3), Feld, Canale(2), Santos, Van Zytveld
February 19, 2017	U-18 WNT vs England	3-1 W	St. Georges Park; Straffordshire, England	300	Yates, Smith(2)
February 18, 2017	U-20 MNT vs Panama	0-1 L	Estadio Ricardo Saprissa; Tibas, Costa Rica		--
February 7, 2017	U-20 MNT vs El Salvador	2-0 W	UCF Soccer Stadium; Orlando, Fla.		Ebobisse, Craft
February 5, 2017	U-19 MNT vs El Salvador	2-1 W	Broward Regional Park; Fort Lauderdale, Fla.	93	Kraft, Hunsinger
February 3, 2017	MNT vs Jamaica	1-0 W	Finley Stadium; Chattanooga, Tenn.	17,903	Morris
January 29, 2017	MNT vs Serbia	0-0 D	Qualcomm Stadium; San Diego, Calif.	20,079	--
December 19, 2016	U-20 MNT vs Costa Rica	0-0 D	San Jose, Costa Rica	200	--
December 19, 2016	U-16 BNT vs Miramar United Elite FC	5-0 W	Bradenton, Fla.		
December 18, 2016	U-16 BNT vs FC Florida Prep Academy	6-0 W	Bradenton, Fla.		
December 17, 2016	U-17 MNT vs Tottenham FC	1-3 L	IMG Academy; Bradenton, Fla.		Acosta
December 17, 2016	U-16 BNT vs Next Gen USA Showcase Select (NJ)	6-0 W	Bradenton, Fla.		
December 17, 2016	U-20 MNT vs Costa Rica	4-0 W	San Jose, Costa Rica	200	Saucedo(2), Ebobisse, Adams
December 15, 2016	U-17 MNT vs RVG Academy	5-0 W	IMG Academy; Bradenton, Fla.		Akinola(2), Acosta, Carleton, Jones
December 14, 2016	U-17 MNT vs Baltimore Armour 18DA	2-1 W	IMG Academy; Bradenton, Fla.		Temple, Angking
December 4, 2016	U-17 MNT vs Brazil	3-0 W	Premier Sports Campus; Lakewood Ranch, Fla.	4,072	Akinola, Sargent, Weah
December 3, 2016	U-20 WNT vs Japan	0-1 L	National Football Stadium; Port Moresby, Papua New Guinea	8,093	--
December 2, 2016	U-17 MNT vs Turkey	5-1 W	Premier Sports Campus; Lakewood Ranch, Fla.	3,933	Carleton(2), Akinola(2), Weah
November 30, 2016	U-17 MNT vs Portugal	7-1 W	Premier Sports Campus; Lakewood Ranch, Fla.		Carleton(2), Sargent(3), Akinola, McGann
November 29, 2016	U-20 WNT vs Korea DPR	1-2 L (aet)	Sir John Guise Stadium; Port Moresby, Papua New Guinea	5,037	Jacobs
November 25, 2016	U-20 WNT vs Mexico	2-1 W	Sir John Guise Stadium; Port Moresby, Papua New Guinea	4,245	Watt, Hedge
